Transaction_ID,User_ID,Timestamp,Amount,Transaction_Mode,Transaction_Type,Merchant_Category,UPI_App,Location_State,Device_Type,Is_First_Time_Payee,Days_Since_Last_Txn,Txn_Count_Last_7_Days,Avg_Amt_Last_30_Days,Amount_vs_Avg_Deviation,Weekday_Weekend,Time_Of_Day,Payee_Repetition_Count,Txn_Velocity_Per_Hour,Amount_Velocity_Per_Day,Usual_Transaction_Mode,Mode_Deviation,Merchant_Loyalty_Score,New_Payees_Last_7_Days,Repeat_vs_New_Ratio,Is_Fraud
TXN00043,user_52,2026-02-25 13:47:23.058376,625,UPI_ID,P2P,Mobile Recharge,GPay,West Bengal,Desktop,True,12,2,359,1,Weekday,Afternoon,2,0.18,102.57,Phone Number,True,0.51,4,0.4,0
TXN00044,user_55,2026-03-02 21:44:23.058390,1461,Phone Number,Self Transfer,Food & Restaurants,GPay,Maharashtra,Mobile,True,2,2,656,1,Weekday,Night,3,0.43,187.43,QR,True,0.49,5,0.5,0
TXN00045,user_61,2026-03-03 15:09:23.058403,1775,Phone Number,Self Transfer,Fuel,PhonePe,Karnataka,Mobile,True,4,10,499,3,Weekday,Afternoon,7,0.46,712.86,QR,True,0.78,0,7.0,1
TXN00046,user_22,2026-02-15 06:45:23.058417,244,Phone Number,Self Transfer,Fuel,BHIM,Delhi,Desktop,False,2,19,728,-1,Weekend,Morning,7,1.29,1976.0,Intent Link,True,0.82,0,7.0,0
TXN00047,user_78,2026-03-04 16:18:23.058431,1523,QR,P2M,Grocery,BHIM,Delhi,Mobile,False,15,8,583,2,Weekday,Afternoon,10,0.34,666.29,UPI_ID,True,0.53,2,3.33,0
TXN00048,user_42,2026-02-19 12:29:23.058445,1543,Phone Number,Self Transfer,Online Shopping,BHIM,West Bengal,Mobile,False,2,6,519,2,Weekday,Afternoon,6,0.73,444.86,Intent Link,True,0.43,5,1.0,0
TXN00049,user_52,2026-02-12 23:31:23.058458,1048,Phone Number,Self Transfer,Medical & Pharmacy,BHIM,Karnataka,Mobile,True,8,1,456,1,Weekday,Night,6,0.07,65.14,QR,True,0.85,0,6.0,0
TXN00050,user_90,2026-02-25 13:22:23.058472,56,Intent Link,P2P,Bills & Utilities,PhonePe,Tamil Nadu,Desktop,True,4,20,152,-1,Weekday,Afternoon,2,1.6,434.29,UPI_ID,True,0.7,2,0.67,0
TXN00051,user_35,2026-02-27 00:53:23.058486,68,QR,Self Transfer,Medical & Pharmacy,PhonePe,Tamil Nadu,Desktop,False,10,8,655,-1,Weekday,Night,8,0.36,748.57,Intent Link,True,0.56,1,4.0,0
TXN00052,user_37,2026-02-17 06:30:23.058499,632,Phone Number,P2M,Medical & Pharmacy,BHIM,Karnataka,Desktop,True,7,19,533,0,Weekday,Morning,2,1.34,1446.71,Intent Link,True,0.36,3,0.5,0
TXN00053,user_6,2026-03-01 16:53:23.058513,1816,Intent Link,P2P,Transportation,PhonePe,West Bengal,Desktop,True,14,13,287,5,Weekend,Afternoon,10,3.95,533.0,QR,True,0.84,5,1.67,1
TXN00054,user_19,2026-02-26 20:14:23.058527,824,UPI_ID,P2M,Medical & Pharmacy,BHIM,Delhi,Desktop,True,2,3,768,0,Weekday,Evening,4,0.47,329.14,Intent Link,True,0.68,2,1.33,0
TXN00055,user_30,2026-02-17 13:56:23.058541,461,UPI_ID,P2P,Food & Restaurants,Paytm,Tamil Nadu,Desktop,False,11,4,123,3,Weekday,Afternoon,7,0.37,70.29,Phone Number,True,0.37,1,3.5,0
TXN00056,user_88,2026-02-15 11:13:23.058554,583,Intent Link,Self Transfer,Food & Restaurants,PhonePe,Maharashtra,Desktop,False,14,6,203,2,Weekend,Morning,9,0.87,174.0,QR,True,0.21,3,2.25,0
TXN00057,user_37,2026-02-18 23:13:23.058567,1860,Intent Link,Self Transfer,Medical & Pharmacy,Paytm,Karnataka,Desktop,True,12,3,818,1,Weekday,Night,5,0.15,350.57,Phone Number,True,0.27,4,1.0,0
TXN00058,user_46,2026-02-22 06:39:23.058581,1269,UPI_ID,Self Transfer,Grocery,GPay,West Bengal,Desktop,False,7,10,878,0,Weekend,Morning,10,0.67,1254.29,Phone Number,True,0.45,3,2.5,0
TXN00059,user_80,2026-03-03 18:35:23.058595,1608,Phone Number,P2M,Food & Restaurants,GPay,West Bengal,Desktop,True,2,5,227,6,Weekday,Evening,10,0.23,162.14,UPI_ID,True,0.43,5,1.67,0
TXN00060,user_26,2026-03-07 22:27:23.058609,1786,Phone Number,Self Transfer,Fuel,Paytm,Tamil Nadu,Desktop,True,4,12,562,2,Weekend,Night,2,0.65,963.43,Intent Link,True,0.36,2,0.67,0
TXN00061,user_87,2026-02-27 23:00:23.058623,1616,Intent Link,P2M,Transportation,Paytm,West Bengal,Desktop,False,3,3,901,1,Weekday,Night,0,0.18,386.14,UPI_ID,True,0.53,2,0.0,0
TXN00062,user_72,2026-03-01 21:09:23.058637,639,UPI_ID,P2P,Medical & Pharmacy,GPay,Tamil Nadu,Desktop,False,3,3,155,3,Weekend,Night,4,0.93,66.43,Intent Link,True,0.82,5,0.67,0
TXN00063,user_59,2026-02-28 18:36:23.058660,460,Intent Link,Self Transfer,Transportation,GPay,Karnataka,Desktop,False,1,18,456,0,Weekend,Evening,9,1.07,1172.57,QR,True,0.35,5,1.5,0
TXN00064,user_31,2026-02-13 05:17:23.058675,1637,QR,P2P,Online Shopping,BHIM,Tamil Nadu,Mobile,True,1,12,868,1,Weekday,Night,0,0.63,1488.0,Phone Number,True,0.37,3,0.0,0
TXN00065,user_73,2026-03-06 13:30:23.058690,19,Phone Number,P2P,Bills & Utilities,GPay,Delhi,Mobile,True,8,18,535,-1,Weekday,Afternoon,9,0.93,1375.71,QR,True,0.28,1,4.5,0
TXN00066,user_17,2026-03-12 04:33:23.058704,838,UPI_ID,P2P,Online Shopping,BHIM,West Bengal,Mobile,True,15,8,261,2,Weekday,Night,0,0.71,298.29,Phone Number,True,0.45,1,0.0,0
TXN00067,user_58,2026-02-24 08:44:23.058718,244,UPI_ID,P2M,Fuel,BHIM,Karnataka,Mobile,False,14,2,371,0,Weekday,Morning,7,0.74,106.0,UPI_ID,False,0.26,5,1.17,0
TXN00068,user_9,2026-03-08 07:44:23.058732,1886,Intent Link,Self Transfer,Online Shopping,BHIM,Tamil Nadu,Mobile,True,13,19,357,4,Weekend,Morning,6,1.67,969.0,Phone Number,True,0.36,4,1.2,0
TXN00069,user_59,2026-02-28 02:37:23.058746,1040,Phone Number,P2P,Online Shopping,BHIM,Tamil Nadu,Mobile,True,2,4,718,0,Weekend,Night,6,0.37,410.29,Phone Number,False,0.72,2,2.0,0
TXN00070,user_17,2026-02-23 14:46:23.058759,730,Phone Number,Self Transfer,Online Shopping,BHIM,Tamil Nadu,Desktop,False,11,18,973,0,Weekday,Afternoon,10,5.32,2502.0,Intent Link,True,0.56,0,10.0,0
TXN00071,user_62,2026-03-05 13:01:23.058773,1925,Intent Link,Self Transfer,Online Shopping,GPay,West Bengal,Desktop,True,5,18,289,6,Weekday,Afternoon,1,2.47,743.14,QR,True,0.73,2,0.33,0
TXN00072,user_45,2026-03-12 10:28:23.058787,997,UPI_ID,Self Transfer,Transportation,PhonePe,Karnataka,Desktop,False,10,5,336,2,Weekday,Morning,1,1.08,240.0,UPI_ID,False,0.42,1,0.5,0
TXN00073,user_73,2026-02-21 13:27:23.058801,573,UPI_ID,P2M,Mobile Recharge,BHIM,Karnataka,Desktop,False,13,2,85,6,Weekend,Afternoon,2,0.27,24.29,UPI_ID,False,0.73,4,0.4,0
TXN00074,user_56,2026-03-09 06:40:23.058814,1221,UPI_ID,P2P,Medical & Pharmacy,BHIM,West Bengal,Mobile,True,6,19,528,1,Weekday,Morning,8,2.4,1433.14,Phone Number,True,0.35,5,1.33,0
TXN00075,user_33,2026-03-03 06:16:23.058827,108,Intent Link,Self Transfer,Medical & Pharmacy,PhonePe,West Bengal,Desktop,True,12,1,315,-1,Weekday,Morning,6,0.05,45.0,QR,True,0.23,1,3.0,1
TXN00076,user_10,2026-02-13 05:47:23.058841,1817,UPI_ID,P2M,Transportation,GPay,Delhi,Mobile,False,11,14,278,6,Weekday,Night,10,4.63,556.0,Phone Number,True,0.79,3,2.5,0
TXN00077,user_76,2026-02-28 00:18:23.058854,294,QR,P2P,Fuel,GPay,West Bengal,Mobile,False,11,13,515,0,Weekend,Night,5,0.73,956.43,Phone Number,True,0.77,1,2.5,0
TXN00078,user_31,2026-03-09 12:07:23.058870,1971,QR,Self Transfer,Mobile Recharge,BHIM,Karnataka,Desktop,False,10,7,280,6,Weekday,Afternoon,9,1.57,280.0,UPI_ID,True,0.25,1,4.5,0
TXN00079,user_39,2026-02-15 07:46:23.058884,1346,Intent Link,P2M,Online Shopping,GPay,Tamil Nadu,Desktop,False,2,2,774,1,Weekend,Morning,8,0.13,221.14,Phone Number,True,0.88,0,8.0,0
TXN00080,user_77,2026-02-24 03:54:23.058898,479,Phone Number,Self Transfer,Grocery,BHIM,West Bengal,Mobile,True,14,19,742,0,Weekday,Night,7,5.62,2014.0,QR,True,0.83,4,1.4,0
TXN00081,user_92,2026-03-09 23:42:23.058911,739,Intent Link,Self Transfer,Grocery,PhonePe,Delhi,Desktop,False,12,6,651,0,Weekday,Night,3,0.58,558.0,Intent Link,False,0.44,5,0.5,0
TXN00082,user_81,2026-02-20 06:19:23.058925,1269,Phone Number,P2M,Food & Restaurants,PhonePe,Delhi,Mobile,True,11,11,559,1,Weekday,Morning,8,1.35,878.43,Intent Link,True,0.66,5,1.33,0
TXN00083,user_17,2026-02-20 18:18:23.058938,185,UPI_ID,Self Transfer,Transportation,BHIM,West Bengal,Desktop,True,11,10,844,-1,Weekday,Evening,10,1.23,1205.71,QR,True,0.87,2,3.33,0
TXN00084,user_99,2026-02-25 10:09:23.058953,645,UPI_ID,Self Transfer,Mobile Recharge,Paytm,West Bengal,Mobile,False,4,5,227,2,Weekday,Morning,1,1.06,162.14,UPI_ID,False,0.78,2,0.33,0
TXN00085,user_22,2026-02-17 02:21:23.058966,86,Intent Link,Self Transfer,Online Shopping,Paytm,Karnataka,Mobile,True,9,14,611,-1,Weekday,Night,10,0.6,1222.0,QR,True,0.75,5,1.67,0
TXN00086,user_25,2026-02-28 18:47:23.058980,1357,QR,P2P,Medical & Pharmacy,PhonePe,Delhi,Mobile,False,11,15,66,20,Weekend,Evening,4,1.09,141.43,Intent Link,True,0.27,3,1.0,0
TXN00087,user_16,2026-03-03 13:35:23.058994,1027,Intent Link,P2P,Fuel,PhonePe,Karnataka,Desktop,True,13,6,265,3,Weekday,Afternoon,7,2.7,227.14,QR,True,0.55,4,1.4,0
TXN00088,user_11,2026-03-01 09:22:23.059007,1292,QR,P2P,Food & Restaurants,Paytm,Karnataka,Mobile,False,14,11,216,5,Weekend,Morning,10,0.73,339.43,QR,False,0.83,2,3.33,1
TXN00089,user_28,2026-02-14 11:48:23.059021,1383,Phone Number,P2P,Transportation,GPay,Maharashtra,Desktop,False,2,20,417,2,Weekend,Morning,1,5.63,1191.43,QR,True,0.83,2,0.33,0
TXN00090,user_3,2026-02-19 23:47:23.059034,1874,Phone Number,P2P,Mobile Recharge,BHIM,Maharashtra,Mobile,False,2,8,181,9,Weekday,Night,4,0.35,206.86,UPI_ID,True,0.58,3,1.0,0
TXN00091,user_65,2026-02-23 15:59:23.059047,685,Phone Number,Self Transfer,Grocery,GPay,Delhi,Mobile,False,7,16,158,3,Weekday,Afternoon,10,0.9,361.14,Phone Number,False,0.64,3,2.5,0
TXN00092,user_95,2026-02-16 06:15:23.059061,1850,Intent Link,Self Transfer,Online Shopping,BHIM,Maharashtra,Mobile,True,14,2,883,1,Weekday,Morning,8,1.08,252.29,QR,True,0.34,2,2.67,0
TXN00093,user_6,2026-03-02 06:51:23.059074,520,Phone Number,P2M,Medical & Pharmacy,GPay,Delhi,Desktop,True,11,13,677,0,Weekday,Morning,4,1.18,1257.29,QR,True,0.48,0,4.0,0
TXN00094,user_50,2026-03-02 10:52:23.059089,1635,Intent Link,P2P,Online Shopping,BHIM,West Bengal,Mobile,False,10,16,577,2,Weekday,Morning,8,4.76,1318.86,UPI_ID,True,0.43,2,2.67,0
TXN00095,user_58,2026-02-20 17:56:23.059102,1062,Phone Number,Self Transfer,Medical & Pharmacy,BHIM,Delhi,Mobile,True,12,6,280,3,Weekday,Evening,5,0.64,240.0,UPI_ID,True,0.76,3,1.25,0
TXN00096,user_4,2026-03-07 20:40:23.059117,191,Phone Number,P2M,Grocery,BHIM,West Bengal,Mobile,True,14,15,902,-1,Weekend,Evening,2,0.66,1932.86,QR,True,0.46,0,2.0,0
TXN00097,user_74,2026-03-08 00:00:23.059130,1801,UPI_ID,P2P,Online Shopping,PhonePe,Karnataka,Desktop,True,8,13,651,2,Weekend,Night,10,0.69,1209.0,QR,True,0.69,2,3.33,0
TXN00098,user_79,2026-03-02 17:25:23.059143,681,Intent Link,P2P,Bills & Utilities,BHIM,Tamil Nadu,Desktop,False,2,16,382,1,Weekday,Evening,1,1.17,873.14,UPI_ID,True,0.4,1,0.5,0
TXN00099,user_21,2026-02-17 17:24:23.059157,1453,QR,P2P,Online Shopping,PhonePe,Karnataka,Mobile,False,11,6,902,1,Weekday,Evening,8,0.51,773.14,UPI_ID,True,0.89,1,4.0,0
TXN00100,user_12,2026-03-10 06:58:23.059171,1775,QR,P2M,Transportation,GPay,Karnataka,Desktop,False,4,16,791,1,Weekday,Morning,6,0.75,1808.0,UPI_ID,True,0.75,4,1.2,0
TXN00101,user_24,2026-02-16 11:56:23.059185,1286,Phone Number,P2P,Grocery,PhonePe,Delhi,Mobile,False,9,17,130,9,Weekday,Morning,1,0.83,315.71,QR,True,0.38,4,0.2,0
TXN00102,user_71,2026-03-04 11:43:23.059199,327,QR,P2P,Food & Restaurants,Paytm,West Bengal,Mobile,True,2,10,904,-1,Weekday,Morning,8,4.89,1291.43,QR,False,0.65,5,1.33,0
TXN00103,user_84,2026-03-05 21:57:23.059213,1215,Phone Number,P2M,Grocery,PhonePe,Karnataka,Desktop,False,2,20,59,20,Weekday,Night,7,1.19,168.57,Phone Number,False,0.31,5,1.17,0
TXN00104,user_60,2026-03-06 05:45:23.059226,207,Intent Link,P2P,Online Shopping,Paytm,West Bengal,Mobile,False,7,5,680,-1,Weekday,Night,5,0.43,485.71,Phone Number,True,0.39,5,0.83,0
TXN00105,user_13,2026-03-11 06:59:23.059239,15,Phone Number,P2P,Transportation,PhonePe,Karnataka,Desktop,False,9,20,203,-1,Weekday,Morning,3,1.61,580.0,Phone Number,False,0.26,1,1.5,0
TXN00106,user_59,2026-02-10 09:10:23.059253,1100,Intent Link,Self Transfer,Online Shopping,BHIM,Delhi,Mobile,True,13,19,707,1,Weekday,Morning,0,4.66,1919.0,Phone Number,True,0.39,0,0.0,0
TXN00107,user_52,2026-03-01 14:58:23.059267,1306,UPI_ID,P2M,Bills & Utilities,BHIM,West Bengal,Desktop,True,4,2,263,4,Weekend,Afternoon,5,0.09,75.14,Phone Number,True,0.48,4,1.0,0
TXN00108,user_44,2026-02-23 04:35:23.059280,1426,UPI_ID,P2P,Bills & Utilities,GPay,Maharashtra,Desktop,False,14,5,275,4,Weekday,Night,9,1.13,196.43,Intent Link,True,0.83,4,1.8,0
TXN00109,user_79,2026-03-02 10:58:23.059293,654,Phone Number,P2M,Fuel,GPay,Delhi,Desktop,True,13,20,759,0,Weekday,Morning,9,1.39,2168.57,Intent Link,True,0.76,2,3.0,0
TXN00110,user_89,2026-02-20 15:45:23.059308,1301,UPI_ID,Self Transfer,Fuel,BHIM,Maharashtra,Desktop,True,7,16,857,1,Weekday,Afternoon,10,9.27,1958.86,QR,True,0.86,4,2.0,0
TXN00111,user_3,2026-02-26 05:57:23.059321,1317,UPI_ID,Self Transfer,Transportation,PhonePe,West Bengal,Mobile,False,15,5,590,1,Weekday,Night,3,0.38,421.43,Intent Link,True,0.42,3,0.75,0
TXN00112,user_69,2026-03-01 23:01:23.059335,192,Phone Number,P2P,Medical & Pharmacy,Paytm,Delhi,Mobile,False,10,9,399,-1,Weekend,Night,3,0.75,513.0,Phone Number,False,0.59,1,1.5,0
TXN00113,user_93,2026-03-04 07:16:23.059349,534,Phone Number,P2P,Transportation,Paytm,Tamil Nadu,Desktop,False,8,19,282,1,Weekday,Morning,6,1.04,765.43,QR,True,0.35,2,2.0,0
TXN00114,user_35,2026-02-10 22:39:23.059363,1946,QR,P2P,Mobile Recharge,PhonePe,Maharashtra,Mobile,True,13,9,423,4,Weekday,Night,1,1.05,543.86,QR,False,0.53,4,0.2,0
TXN00115,user_18,2026-03-11 22:24:23.059376,1785,QR,P2M,Transportation,Paytm,Delhi,Mobile,True,7,6,650,2,Weekday,Night,10,0.45,557.14,Intent Link,True,0.71,3,2.5,0
TXN00116,user_23,2026-02-27 10:24:23.059390,1591,UPI_ID,P2P,Transportation,Paytm,West Bengal,Mobile,False,9,2,528,2,Weekday,Morning,7,0.17,150.86,Phone Number,True,0.65,1,3.5,0
TXN00117,user_18,2026-02-12 23:54:23.059404,1156,Intent Link,Self Transfer,Bills & Utilities,Paytm,Maharashtra,Mobile,False,9,9,518,1,Weekday,Night,1,0.64,666.0,QR,True,0.73,2,0.33,0
TXN00118,user_82,2026-02-12 03:31:23.059418,395,QR,P2P,Online Shopping,BHIM,Delhi,Mobile,True,8,14,736,0,Weekday,Night,1,1.43,1472.0,UPI_ID,True,0.51,3,0.25,0
TXN00119,user_43,2026-03-02 21:37:23.059432,565,QR,P2P,Grocery,GPay,Karnataka,Desktop,True,12,19,73,7,Weekday,Night,4,1.13,198.14,Phone Number,True,0.85,5,0.67,0
TXN00120,user_99,2026-03-02 18:16:23.059445,1293,QR,P2M,Online Shopping,PhonePe,Karnataka,Desktop,False,15,10,218,5,Weekday,Evening,9,0.54,311.43,QR,False,0.76,1,4.5,0
